,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,target
Source.IP,1.0,0.2805565137249706,-0.7769305555868085,-0.2315102420718802,-0.011814214428215647,0.11758527938676303,-0.005382176516728311,0.008071374679444545,-0.01113412373924824,0.010452213031624514,-0.01849608049099731,-0.03596942330775676,-0.018090113657674958,0.006965113502433723,0.10709138994399839,0.008147590702844664,0.07024820038824317,0.11946928407776404,-0.035373475494520516,-0.11208638666513818,0.11647095431645621,0.12390029504295902,0.1136629207114722,0.015218708584499254,0.11255542953007312,0.17891005320534695,0.0909810378953396,0.11693036815360244,0.14499694815965278,0.12568005536884247,0.06687425545505889,0.11364988764477366,0.14729153304853407,0.031020680462259156,-0.08134806464488273,-0.00796564324486399,0.0013404534744322725,-0.10480130256147932,-0.06095809263591692,-0.02467209039396185,0.08223490862807126,0.05115212185107641,0.09455428088937218,0.07371732229085544,-0.017317825032220326,-0.08134806464488273,0.03083139409168766,0.10239503778927407,-0.10381760972703137,-0.21443602567182882,0.03138095241002427,0.2782726572785347,0.04744201154017905,-0.01809011365265548,0.0702482003891577,-0.005382176516728311,-0.01113412373924824,0.008071374679444545,0.010452213031624514,0.2614311037420293,-0.06909152796821845,0.0007995991420334639,-0.5230174308119592,-0.007316904114454408,0.007473843343426801,-0.002607453031693787,-0.01162636402425714,0.1551493644552409,0.0907688021618802,0.15609394758566555,0.138615802309325,-0.042333328368931215
Source.Port,0.2805565137249706,1.0,-0.3298167388762769,-0.8032329628060852,0.026031064774119504,-0.05539690156213743,-0.02617162364639738,0.0005980343016704052,-0.036332942813618894,0.018362255379302386,-0.06154234971897063,-0.12866711559167002,-0.12927823383711978,0.028448897640884853,0.16786033784724627,-0.09482346795563304,0.16099841854620975,0.2087625413048909,-0.06529776851464995,-0.11384310147361697,-0.003560382537328493,0.01709698042739926,0.055612331616232843,0.01781167928100482,-0.06422737160313002,0.04387476551353356,0.010862098675425563,0.046133256362396874,0.06312475898105592,-0.07740007862725011,-0.09921490260949889,-0.005873913217040275,0.01958545056832469,-0.07411040217509901,-0.2670368816615791,-0.02408359564338054,-0.0007802684835442967,-0.13464285403483164,0.03148890740076014,-0.07181102175200062,0.10297897852615422,0.058580959363991325,0.1351954186816696,0.08091628275594843,0.01501529605263925,-0.2670368816615791,0.01668065247400173,0.32799069021753235,-0.36422957436865777,-0.22334510170533312,0.017398238660325548,0.1539261705719496,0.0515109567927634,-0.1292782338353095,0.160998418547327,-0.02617162364639738,-0.036332942813618894,0.0005980343016704052,0.018362255379302386,-0.03587185696873324,-0.26270917206502825,-0.034627682881625745,0.04708892017262044,-0.01643140042337121,-0.024945874260650577,-0.027059410292357616,-0.0070853860523258025,0.008729787021868933,0.01107317728996811,0.006743656603694588,0.008674706231774652,0.12368965047825477
Destination.IP,-0.7769305555868085,-0.3298167388762769,1.0,0.30808297875311474,0.02838448494325336,-0.14155967465173064,0.00841038697602477,-0.006016656389475664,0.013038452492849597,-0.008239294855963426,0.010292778404357104,0.03093580618737942,0.002153602841442352,-0.03745911708964403,-0.10079558361980102,-0.004265390344284114,-0.07581193711837211,-0.12894137944894138,0.05185967436864705,0.12901166043895876,-0.15736364143311005,-0.1645485557316156,-0.13859084072941147,-0.021032435269797627,-0.13254546779130807,-0.19616099967232498,-0.12294654232947055,-0.1328195690873762,-0.14038879362819298,-0.1397199988068095,-0.09601452432026787,-0.1376549527108054,-0.15485713396620462,-0.042827706700339134,0.06276585873520707,0.008298123582893425,-0.002085881120982365,0.12265106460462386,0.06345705628596784,0.042364520914243774,-0.07611304878736984,-0.047506123145215656,-0.10151670238966658,-0.07135549289858216,-0.007731482809184497,0.06276585873520707,-0.022965287777211248,-0.14145604306912174,0.15135602850114058,0.2522084277576058,-0.023611522291877983,-0.21994564298207547,-0.04364865836527513,0.0021536028341650874,-0.07581193711955446,0.00841038697602477,0.013038452492849597,-0.006016656389475664,-0.008239294855963426,-0.2202880688461762,0.12476814006601052,0.004885094997046155,0.30549459400060686,0.0031820844613156306,-0.004251781775540936,0.0018568345406608584,0.005407843036995176,-0.1567318390172292,-0.0751088927808028,-0.15431230099524518,-0.1442661428114127,0.020015323392670148
Destination.Port,-0.2315102420718802,-0.8032329628060852,0.30808297875311474,1.0,-0.006294480718348898,0.10045873406846163,0.02948477693157622,0.0012653029725608817,0.04105740855922167,-0.018380678447531416,0.059701484266631515,0.13827983358213386,0.1402069058820194,-0.04022858534432035,-0.19664230571639035,0.09534451921769287,-0.19142012943416317,-0.24840616385215689,0.07410941262863305,0.12357242889544037,0.04515139955699251,0.02325953640446449,-0.02835468922169962,-0.015610416723189486,0.10938188273613507,0.00489308227166062,0.013317936188575706,-0.01504320480183121,-0.024512974500632664,0.12220537099353353,0.14224247282608316,0.04058464162563431,0.01652939255437879,0.10068280708513563,0.26533912248382013,0.02594298702628507,0.0009446890522657867,0.1505230908587911,-0.048665553494402686,0.08148989423306932,-0.12493445734858391,-0.07062453193584892,-0.16478560554720553,-0.10477508264026986,-0.011187177304492358,0.26533912248382013,-0.010275008913101633,-0.3597812168548441,0.4043071259906445,0.22341821937754305,-0.011118690664780486,-0.14230476240714524,-0.06298440640939658,0.14020690587964252,-0.19142012943357772,0.02948477693157622,0.04105740855922167,0.0012653029725608817,-0.018380678447531416,-0.2478973425064521,0.08396076158063251,0.04016053043781231,-0.1931279104825715,0.018932058364080878,0.033801905052818305,0.03276102530897634,0.0059411096854800095,0.035183501443847826,0.015698245591810708,0.03769568207964678,0.02973070909118639,-0.13641865992140143
Protocol,-0.011814214428215647,0.026031064774119504,0.02838448494325336,-0.006294480718348898,1.0,0.04536994122522729,0.022859403506930446,0.015338202565865175,0.0001838663131199397,0.00034164603649681504,-0.006224653141856745,0.006754298532906351,-0.0034434916105951984,-0.009705530447491431,-0.004537696015138637,0.008376251571153856,-0.0029896041024829252,-0.007564825326059206,-0.0007418475286673795,-0.003963995716462099,-0.003945362374694799,-0.006094059084251508,-0.005238543425990462,-0.0005328227520796998,0.04643095366828715,-0.0045204082802656476,-0.005272960842879156,-0.004559720838917911,-0.002517358940529965,0.04838935435436217,-0.004113944959486624,-0.005250734382220662,-0.0038970172678767304,-0.0019324572664011531,-0.007651618767034266,0.021323439689891324,0.014577261215343376,-0.003390123756371647,-0.003203254379347242,0.015661362930137923,-0.005755000053070615,-0.004776293804599691,-0.008920114060455264,-0.006374908135956188,-0.0014168672422519262,-0.007651618767034266,-0.0004343854587096338,-0.0139209254708224,-0.02053237972270236,-0.010394905346041303,-0.0004314546370873016,-0.013337929129282763,-0.00493753917605321,-0.0034434916106068887,-0.002989604100601467,0.022859403506930446,0.0001838663131199397,0.015338202565865175,0.00034164603649681504,-0.010726092527405726,-0.004641239480770405,0.025963753314352196,0.014641586107029524,0.06288962882598666,0.010727557419741284,0.049485988629387426,0.06590459802950356,-0.006098035995176633,-0.002552022925625318,-0.005901375059362653,-0.005600492665489378,-0.017075030189979686
Flow.Duration,0.11758527938676303,-0.05539690156213743,-0.14155967465173064,0.10045873406846163,0.04536994122522729,1.0,0.08472322213261615,0.0802692084049639,0.047715416916969684,0.04946722078189398,0.20262064393293153,0.06876667808613467,0.18752942881024318,0.1435314949574293,0.10409062384103433,0.0913903773276488,0.059740112355271394,0.04335773577155885,-0.030846723446220886,-0.13696550514263084,0.523522788187095,0.7120558089489073,0.8043997619654724,0.0060116251578283975,0.9851594778818543,0.5312086890442782,0.6713104751472615,0.7998483705945817,0.24057921727600245,0.9284535594949604,0.498510436390113,0.6551787886711516,0.7709974131786429,0.2058100124385122,0.4638582934537487,0.0803134168974979,0.07801652291432189,-0.12941015314011503,-0.07002777627792856,0.00010143507197627728,0.15732239016508726,0.12421716307356465,0.11365461243267024,0.05678397940413755,-0.05308826204408833,0.4638582934537487,0.003748150140836867,-0.11000002041543505,0.11156671302267103,-0.38579227251281156,0.003664921010573057,0.026956253420704977,0.11525850917112085,0.18752942880670054,0.059740112354918114,0.08472322213261615,0.047715416916969684,0.0802692084049639,0.04946722078189398,-0.04612986821002641,0.043805721008526644,0.07527981176487952,-0.06082448256924824,0.1967655663387662,0.25367442144248026,0.2729557857646418,0.10807065587974429,0.746004711096047,0.49301479419226724,0.7885025875785933,0.6524025011180237,-0.03539433515147334
Total.Fwd.Packets,-0.005382176516728311,-0.02617162364639738,0.00841038697602477,0.02948477693157622,0.022859403506930446,0.08472322213261615,1.0,0.7089918164302884,0.758278114025837,0.42558109900869967,0.2509325669657207,0.03719168588862897,0.14725281896275524,0.07072747108739622,0.10580341774183889,0.018126854359815193,0.07114174445711301,0.03781190086550246,-0.002284790375897756,-0.01185748179185791,-0.019417449715764257,-0.022761745172140208,-0.004334337766070232,-0.0030584146227178536,0.08531081047480099,-0.018368281362027797,-0.01951984720753171,-0.005178486431952082,-0.009526262367160816,0.0822769387331279,-0.015399485670947337,-0.017089188804617184,-0.001733349844561652,-0.007441018037520424,0.031459241749408895,0.9738895496058831,0.6954548173630621,-0.011191845580827732,-0.006100749583521327,0.006990270763904443,0.20060805562761902,0.13503314590722165,0.10229642769190089,0.10227565031228822,-0.004549721618297487,0.031459241749408895,0.0005091017859914406,-0.006687264691322899,0.008331490717773716,-0.03439525376283791,0.0004620514854177369,-0.013673874782288844,0.12988804081199332,0.14725281896332099,0.07114174445720339,1.0,0.758278114025837,0.7089918164302884,0.42558109900869967,0.0006182275296320395,0.030110401024867516,0.9040254732202626,0.00197147380225756,0.0789181973237443,0.05725238308824442,0.0842555878790711,0.06199651089683406,-0.006940487312574768,0.002704914266578777,-0.004547502561989824,-0.008033895087416145,0.01921158737413759
Total.Backward.Packets,0.008071374679444545,0.0005980343016704052,-0.006016656389475664,0.0012653029725608817,0.015338202565865175,0.0802692084049639,0.7089918164302884,1.0,0.43867219134528973,0.8004613783943496,0.15516982669157198,0.023749118816241355,0.07679954037665741,0.037291765112185744,0.18336160135361246,0.01865381701926241,0.1208936099754997,0.07211432999743499,-0.0023882393999434866,-0.01260096286567765,-0.020267679006658858,-0.022974316375959123,0.0012677791224161286,-0.003260263659883194,0.07969951420833153,-0.01806552093429677,-0.018265112456662635,-0.0008579079873052356,-0.009426685927692673,0.08624168430389716,-0.016506628745308876,-0.016850942187503114,0.006190204288035526,-0.008045612153608958,0.022850979481290768,0.7001979403592408,0.975856131751097,-0.01197468441181635,-0.006214670799949349,-0.0029441645979710854,0.22992838378686342,0.15382887445925447,0.12135313067947072,0.12732541605643763,-0.004911862809739396,0.022850979481290768,0.0014247854998871942,0.007722148530052893,-0.008913508113846872,-0.035729859358882544,0.0014078802127488472,0.03003531425037316,0.14809246931611716,0.0767995403758789,0.120893609974901,0.7089918164302884,0.43867219134528973,1.0,0.8004613783943496,0.007102832510858781,0.018515643368068102,0.5760930600381995,0.005505404071347625,0.07510314522060713,0.057260045339099085,0.08313397990220588,0.057931255839911024,-0.00355876748393275,0.005830145501193411,-0.0006049263759123928,-0.005350732826001548,0.03318998646662513
Total.Length.of.Fwd.Packets,-0.01113412373924824,-0.036332942813618894,0.013038452492849597,0.04105740855922167,0.0001838663131199397,0.047715416916969684,0.758278114025837,0.43867219134528973,1.0,0.0009556416464703455,0.29604242268089315,0.038909567137037304,0.18238409031702646,0.09823894568190898,-0.0071773605068789674,-0.0022916310757467883,-0.011375641162375386,-0.013152460723835885,-0.000939764127635236,-0.005523925537522331,-0.009939411438293431,-0.012718267868368233,-0.007682010836636466,-0.0014258452647847107,0.048751460877236495,-0.009342053488911782,-0.01154543568415927,-0.007301306876264807,-0.00450594146135999,0.04566480166851501,-0.008039443052397344,-0.010169567204003985,-0.007187687898596567,-0.003647291466830949,0.021943627835569253,0.7424715733628772,0.4403064665303673,-0.0052255363680530345,-0.002803327854288761,0.007911439949549175,0.11800825510659964,0.08348667668303852,0.05445711138889286,0.05442916138063123,-0.0021741889948748614,0.021943627835569253,-0.0005382463264848827,-0.0154055991127965,0.01871179094466364,-0.01595128575160413,-0.0006163222348749473,-0.014213649270731021,0.0804450049248099,0.1823840903137747,-0.011375641162347709,0.758278114025837,1.0,0.43867219134528973,0.0009556416464703455,-0.008983811715957347,0.03245460413925515,0.8507724866245376,0.0009572067651723129,0.042550940997487616,0.02473992002650936,0.04186983460620038,0.036446679238718666,-0.007310466722461577,-0.002321369570074285,-0.006769563382241221,-0.007051658326660902,-0.0006616311274779292
Total.Length.of.Bwd.Packets,0.010452213031624514,0.018362255379302386,-0.008239294855963426,-0.018380678447531416,0.00034164603649681504,0.04946722078189398,0.42558109900869967,0.8004613783943496,0.0009556416464703455,1.0,0.017237824599612976,-0.004182988780705849,-0.014476223865080476,-0.010653398883524264,0.22516739090315813,0.018952178287326735,0.15416893853653413,0.09930841312266464,-0.001485714539199081,-0.008534788851081922,-0.015401858425507989,-0.018270469099869128,0.002984198411274171,-0.0022014493989408928,0.04773354874899765,-0.014259440868847333,-0.015581158856564175,-0.00024706965797752987,-0.006955268678593955,0.052865365212163964,-0.012614800929612863,-0.01432066726116285,0.00630361660131805,-0.005651647446895382,0.0037789734107924774,0.41891887683667833,0.7791945410274586,-0.008094519221090082,-0.0042625463220726904,-0.002465387586698029,0.21244909305427145,0.14781286093969476,0.11778423914789987,0.14109485148655762,-0.0033389792703120234,0.0037789734107924774,0.001441228972281222,0.017994689488281403,-0.018431139970267685,-0.024471297597534154,0.0014643121176869248,0.03241753803384832,0.14261979752444112,-0.014476223864940742,0.15416893853554958,0.42558109900869967,0.0009556416464703455,0.8004613783943496,1.0,0.012903687498392855,-0.001762897537086291,0.22541663910281587,0.003987997872377049,0.05451126424468071,0.04762709476143565,0.06466277500802084,0.03865043752130749,-0.0023119641290112,0.0038376175573770336,-0.00012183622117757965,-0.003614054022018148,0.0415999909000675
